,Open,High,Low,Close,Volume,Date,VWAP,RSI,MACD,EMA,Target,TargetClass
39,805.0,805.0,770.0,776.25,47129.0,2003-02-26,798.49195158434,28.945852790438522,-21.279883063341003,799.8050771598337,768.05,0
40,774.95,780.95,764.1,768.05,79162.0,2003-02-27,793.6755784282418,26.815243177984485,-21.856309887651605,795.5710668718558,770.45,1
41,775.0,781.0,766.0,770.45,43814.0,2003-02-28,790.4031609915744,28.474675117429925,-21.965966383703062,792.2215912889418,775.65,1
42,785.0,785.0,773.0,775.65,40323.0,2003-03-03,788.9605798960404,32.06873491463662,-21.51774929078192,790.0120457837495,746.7,0
43,770.0,779.8,741.25,746.7,78717.0,2003-03-04,783.8606285717233,24.64418899135319,-22.82166837864736,784.2371063459163,749.05,1
44,750.0,752.0,736.6,749.05,34007.0,2003-03-05,781.4646056324103,26.13907065734854,-23.512677404684723,779.5454921664608,747.4,0
45,755.95,757.95,742.0,747.4,14158.0,2003-03-06,780.2744118659507,25.752779346489532,-23.960248573697072,775.259426544266,738.05,0
46,745.2,755.0,730.2,738.05,53885.0,2003-03-07,776.4792998846245,23.62238099920846,-24.70290716226839,770.2981696716972,722.7,0
47,735.0,739.95,700.25,722.7,71850.0,2003-03-10,770.2017938358828,20.608267239790166,-26.063048624198018,763.9517470488044,735.85,1
48,705.5,750.0,601.0,735.85,32104.0,2003-03-11,766.1193385297194,28.969716766044286,-26.07444508084302,760.2048474422971,744.4,1
49,738.0,745.7,735.1,744.4,24884.0,2003-03-12,760.9885352845015,33.84807640980412,-25.29353100258777,758.0975344499909,734.2,0
50,740.0,745.95,731.05,734.2,31663.0,2003-03-13,755.4434312782704,31.103599045851382,-25.08738165666159,754.9111965233254,728.65,0
51,732.0,734.5,720.0,728.65,19276.0,2003-03-17,752.0888395416036,29.692833644132136,-25.047593272646168,751.4097036535487,736.85,1
52,740.0,745.0,724.0,736.85,27984.0,2003-03-19,749.8485476673858,34.42528460583817,-24.257349374071282,749.4684098330756,732.0,0
53,742.5,742.5,730.15,732.0,68085.0,2003-03-20,745.6275482918006,33.00999737844637,-23.70883211913781,747.1392885219989,738.1,1
54,732.7,743.0,725.0,738.1,43897.0,2003-03-21,741.4171535131455,36.54358111221154,-22.655579510038592,745.934050052399,739.35,1
55,738.0,745.95,736.25,739.35,11531.0,2003-03-22,738.934158393137,37.273743775070436,-21.516926673638523,745.0561767120793,739.65,1
56,748.0,860.0,720.5,739.65,19066.0,2003-03-24,737.2137148446548,37.45973809550202,-20.380984484509895,744.3353531504687,739.8,1
57,732.7,740.7,725.7,739.8,20297.0,2003-03-25,734.0212148842681,37.55943274309617,-19.267330125148533,743.7306393970729,741.1,1
58,728.0,743.95,727.1,741.1,47117.0,2003-03-26,733.5169257941075,38.47481367424616,-18.10787725012233,743.3798874774632,736.15,0
59,743.0,743.0,733.0,736.15,83254.0,2003-03-27,733.6990019096775,36.29306273932468,-17.324430196939034,742.415902480468,725.0,0
60,734.0,736.0,719.0,725.0,59707.0,2003-03-28,732.2405348825457,31.90438781673805,-17.25066551543307,740.093782149739,713.8,0
61,725.1,727.45,711.05,713.8,39692.0,2003-03-31,732.6611139069832,28.21377240597144,-17.753437779179535,736.5879445297738,715.8,1
62,715.5,723.0,714.25,715.8,7413.0,2003-04-01,734.8010571593771,29.775951758229724,-17.86713735034789,733.8162185924707,725.95,1
63,717.0,729.0,717.0,725.95,15126.0,2003-04-02,734.120777441369,37.240291673181176,-17.141252293057732,732.7673894468079,728.2,1
64,729.0,732.0,720.0,728.2,35667.0,2003-04-03,733.4045456309692,38.79341120545355,-16.253089846434477,732.1584041872336,725.05,0
65,725.25,728.0,720.0,725.05,36517.0,2003-04-04,732.9757030941252,37.39805310490414,-15.589739551835578,731.2106169622691,731.75,1
66,729.0,737.0,721.0,731.75,70280.0,2003-04-07,732.4743737548171,42.16324666490463,-14.479866191809037,731.2825347006333,719.25,0
67,730.25,737.0,715.0,719.25,35568.0,2003-04-08,731.5711293541433,36.57029502679202,-14.255762711035345,729.6781967405489,726.15,1
68,729.7,735.0,719.0,726.15,10676.0,2003-04-09,731.1270674302193,41.206474927872925,-13.499708980930222,729.2077705084757,744.75,1
69,728.0,751.0,724.0,744.75,106553.0,2003-04-10,732.5382790994315,51.497922511696764,-11.568275198882816,731.2800677740123,737.05,0
70,750.0,750.0,732.25,737.05,33178.0,2003-04-11,731.6416268332654,47.77001755234587,-10.399065179815807,732.0493920708107,739.55,1
71,741.0,747.45,736.2,739.55,10086.0,2003-04-15,731.6734077592014,49.05937507265982,-9.199090519098945,733.049473128036,733.15,0
72,736.0,738.7,731.45,733.15,25811.0,2003-04-16,731.3261059157759,45.93325706460933,-8.55819978809211,733.0628767109645,730.1,0
73,744.0,748.0,726.1,730.1,43415.0,2003-04-17,730.6533269207655,44.47867007616237,-8.15869301628561,732.667826482836,720.4,0
74,731.1,734.0,715.0,720.4,21511.0,2003-04-21,730.8085050041404,40.126550114131085,-8.385677731298983,731.0321162851245,716.8,0
75,727.0,728.0,714.05,716.8,22714.0,2003-04-22,731.3915759248916,38.61634585803732,-8.723445372780702,729.1345007804412,701.25,0
76,725.0,725.0,698.1,701.25,43370.0,2003-04-23,729.613195108318,32.86296428715052,-9.916692868571317,725.416567343049,699.9,0
77,710.0,710.0,692.5,699.9,77554.0,2003-04-24,725.8613688834585,32.41148381081557,-10.875228729601645,722.0143583639758,701.4,1
78,705.0,717.0,697.3,701.4,70549.0,2003-04-25,723.4157755028393,33.504599232809866,-11.452114183172284,719.265777248779,627.25,0
79,601.0,650.0,561.15,627.25,515878.0,2003-04-28,670.8942947861199,18.00365083442118,-16.585167832530033,706.9970069489418,630.6,1
80,636.0,648.0,625.1,630.6,170107.0,2003-04-29,662.1934210215928,19.80874225985292,-20.358871647689625,696.8107393557497,632.6,1
81,630.0,641.0,630.0,632.6,90333.0,2003-04-30,658.4180075056272,20.927916591258793,-23.087916596035143,688.2493074416498,632.9,1
82,636.7,637.0,631.1,632.9,34224.0,2003-05-02,657.1722416381684,21.105782138654746,-25.058360528184835,680.8693997827631,633.15,1
83,635.0,643.0,630.0,633.15,72775.0,2003-05-05,648.7253782296189,21.264725149889017,-26.40179128237287,674.5068131450614,643.3,1
84,639.0,647.0,630.0,643.3,65476.0,2003-05-06,645.8884462610075,27.638740378382906,-26.589692499822263,670.34590472572,641.9,0
85,649.0,649.0,638.1,641.9,35442.0,2003-05-07,645.0643897688338,27.31032962610908,-26.586921367237096,666.5531174289573,633.15,0
86,643.5,647.0,631.0,633.15,52118.0,2003-05-08,642.9933398379992,25.28788633603847,-26.90342630285477,662.0993684384297,646.2,1
87,633.3,648.0,630.1,646.2,49266.0,2003-05-09,639.9208393721315,33.22970305870666,-26.071425215936074,659.9794526466391,637.8,0
88,644.05,651.0,635.0,637.8,58020.0,2003-05-12,638.6600746953832,30.94919479880376,-25.70103881967816,657.0221922937538,641.55,1
89,638.0,647.0,635.2,641.55,37127.0,2003-05-13,637.3901123395171,33.15472283375259,-24.924464611941858,654.9592333212534,645.0,1
90,642.3,647.0,638.05,645.0,82493.0,2003-05-14,635.5650939187348,35.20520714991683,-23.846590116854145,653.6313355450862,652.6,1
91,645.0,664.0,642.25,652.6,63894.0,2003-05-15,632.7401450261453,39.600598405762454,-22.268382511697382,653.4938241390747,650.85,0
92,653.5,660.0,645.15,650.85,32344.0,2003-05-16,629.4364369689673,38.94547431295057,-20.902809179612746,653.1413142538647,651.55,1
